"mss","mu0","phi0","ppEffCrit","ppFutCrit","pmp","n1_targ","n2_targ","futOnly","K0","enrScale","numAlt","trr1","trr2","trr3","trr4","elapsed_time","rr1","rr2","rr3","rr4","FWER","nerr","fut1","fut2","fut3","fut4","aveSS1","aveSS2","aveSS3","aveSS4","medSS1","medSS2","medSS3","medSS4","minSS1","minSS2","minSS3","minSS4","maxSS1","maxSS2","maxSS3","maxSS4","aveSSovr","PM1","PM2","PM3","PM4","SP1","SP2","SP3","SP4","PP1","PP2","PP3","PP4","BIAS1","BIAS2","BIAS3","BIAS4","MSE1","MSE2","MSE3","MSE4","aveDur","esProb1","esProb2","nbCont1","nbCont2"
4,0.45,1,0.985,0.275,2,7,16,1,4,1,0,0.15,0.15,0.15,0.15,0.0118333333333335,0.011,0.0125,0.0117,0.0105,0.0443,1.03160270880361,0.705,0.7076,0.6941,0.7047,11.929,11.9028,12.1186,12.033,9,9,9,9,4,4,4,4,38,39,38,41,47.9834,0.149353621965084,0.148870544569326,0.149831509914126,0.148817132838182,0.116283281319035,0.115732379838146,0.117395761357804,0.11592646647839,0.441668533812833,0.439343630496979,0.444567211991625,0.441512446435195,-0.000646378034916388,-0.00112945543067389,-0.000168490085874531,-0.00118286716181761,0.00518757752716248,0.00523449204459419,0.00522507781179575,0.00493553837286332,9.24406570927826,0.3001,0.6999,1.178,1.1429
4,0.45,1,0.985,0.275,2,7,16,1,4,1,1,0.45,0.15,0.15,0.15,0.012,0.7902,0.0143,0.0136,0.0139,0.0415,1.00722891566265,0.1122,0.6592,0.6596,0.6691,19.7685,12.6975,12.7294,12.5509,22,9,9,9,4,4,4,4,41,42,38,37,57.7463,0.43152750673279,0.153953065624021,0.153743618445757,0.153830953078463,0.442791730528324,0.114589404485531,0.114555085319715,0.114179791658266,0.932593262380521,0.452947555266532,0.453884422815837,0.452878221569372,-0.0184724932672092,0.00395306562402109,0.00374361844575704,0.00383095307846275,0.0220986238179957,0.00581466655798324,0.00550593029441876,0.00567859936394931,10.3840914737999,0.1587,0.8413,1.784,1.0679
4,0.45,1,0.985,0.275,2,7,16,1,4,1,2,0.45,0.45,0.15,0.15,0.012,0.8183,0.8117,0.0184,0.0208,0.0386,1.01554404145078,0.088,0.0922,0.6342,0.627,20.5974,20.5115,13.1004,13.2473,22,22,9,9,4,4,4,4,42,41,37,43,67.4566,0.43466072028842,0.43238496398731,0.158633354103922,0.159866253181336,0.44023854304543,0.437645850631805,0.112921201222945,0.11520155325651,0.944157355861972,0.941596093125701,0.463510423339069,0.467767318158381,-0.0153392797115799,-0.0176150360126897,0.00863335410392231,0.00986625318133662,0.0181124616666512,0.0182083524309541,0.0062643592402273,0.00635934659885917,10.8362303516585,0.1041,0.8959,2.3915,0.8894
4,0.45,1,0.985,0.275,2,7,16,1,4,1,3,0.45,0.45,0.45,0.15,0.012,0.8369,0.8465,0.8387,0.0207,0.0207,1,0.0813,0.0703,0.081,0.5938,20.9827,21.2512,21.0583,13.7525,22,22,22,10,4,4,4,4,43,42,44,43,77.0447,0.435250379688774,0.439027935253656,0.436088229800304,0.16440598226749,0.436105296456223,0.440906161592862,0.437033297780838,0.112878920778849,0.948046228500619,0.954358090694085,0.948211109102118,0.479045463531985,-0.0147496203112255,-0.0109720647463431,-0.013911770199696,0.0144059822674899,0.0157519757701561,0.0149995964237174,0.0158277046975134,0.0067063611728972,11.0618209125466,0.0739,0.9261,2.9913,0.6308
4,0.45,1,0.985,0.275,2,7,16,1,4,1,4,0.45,0.45,0.45,0.45,0.0126666666666665,0.8644,0.856,0.859,0.8618,0,0,0.0645,0.0695,0.0642,0.066,21.2846,21.1733,21.1615,21.2466,22,22,22,22,4,4,4,4,41,40,44,41,84.866,0.444055912248512,0.440853598609802,0.443319514484233,0.442858248910468,0.441641601316167,0.437680071373235,0.440580058260111,0.440208738861304,0.958192323158141,0.95487421869455,0.957128505356685,0.955999260444523,-0.00594408775148776,-0.00914640139019712,-0.00668048551576765,-0.00714175108953157,0.0136518005151607,0.0139745885271474,0.0140922867884475,0.0141399602397721,11.0863355019586,0.0723,0.9277,3.4793,0.2946
4,0.45,1,0.985,0.275,2,7,16,1,4,0.5,0,0.15,0.15,0.15,0.15,0.0121666666666665,0.0111,0.0105,0.0109,0.0124,0.0436,1.02981651376147,0.7089,0.7046,0.7113,0.7096,11.9911,11.8988,11.8269,11.9282,9,9,9,9,4,4,4,4,40,37,38,37,47.645,0.148024544715048,0.148485769113726,0.148231654667249,0.149416869385961,0.11535514683734,0.115326066730852,0.115091641599106,0.116778933212272,0.43681017314693,0.438245567326289,0.436996603344623,0.440865602027132,-0.00197545528495245,-0.00151423088627402,-0.00176834533275046,-0.000583130614039222,0.00506759789981417,0.00515085200781131,0.00515036027850876,0.00516965562510751,9.19745263432684,0.3084,0.6916,1.1542,1.1207
4,0.45,1,0.985,0.275,2,7,16,1,4,0.5,1,0.45,0.15,0.15,0.15,0.0123333333333335,0.6761,0.0152,0.0126,0.0176,0.0441,1.02947845804989,0.1106,0.728,0.7184,0.7222,14.2607,14.8493,15.066,14.9735,15,11,11,11,4,4,4,4,30,49,51,46,59.1495,0.432428419719841,0.152956316691028,0.153152505469066,0.153585344389841,0.447162388943273,0.120597707633841,0.121159880554509,0.121220101563705,0.909661125815007,0.460769715813112,0.461947436147415,0.462443245532552,-0.0175715802801583,0.0029563166910277,0.00315250546906592,0.00358534438984115,0.0292863985239729,0.00492699079493781,0.00479686472074492,0.00489582775805288,14.7469490665121,0.1624,0.8376,1.6096,0.9993
4,0.45,1,0.985,0.275,2,7,16,1,4,0.5,2,0.45,0.45,0.15,0.15,0.0121666666666665,0.7471,0.7511,0.0168,0.0156,0.0315,1.02857142857143,0.1047,0.1023,0.7355,0.727,16.8588,16.9121,17.1212,17.2432,18,18,13,13,4,4,4,4,38,41,54,61,68.1353,0.431386643359756,0.432109878238964,0.156821054908312,0.155708189682204,0.437492038293835,0.438624012900973,0.123407290003901,0.1224621399595,0.924526284372046,0.926624054616071,0.474706635235293,0.471485964846155,-0.0186133566402433,-0.017890121761035,0.006821054908312,0.00570818968220428,0.0228073368035199,0.0223864540441982,0.00495057147263609,0.00484535490765528,17.8206994561542,0.1074,0.8926,2.1714,0.7999
4,0.45,1,0.985,0.275,2,7,16,1,4,0.5,3,0.45,0.45,0.45,0.15,0.012166666666667,0.8065,0.8089,0.8096,0.0186,0.0186,1,0.0904,0.0897,0.0877,0.7219,19.1659,19.164,19.2375,19.5493,20,20,20,14,4,4,4,4,40,42,41,58,77.1167,0.433936503875725,0.433439652655753,0.435236530624878,0.160307817353873,0.434127478037124,0.43377485174351,0.436029031757604,0.125445999038655,0.938219862179068,0.938218587175168,0.939146958247263,0.487209812420801,-0.0160634961242752,-0.0165603473442463,-0.0147634693751218,0.0103078173538736,0.0180368727246609,0.0178662944101349,0.0181081905121291,0.00514853000513739,20.2968386630568,0.0679,0.9321,2.8512,0.5667
4,0.45,1,0.985,0.275,2,7,16,1,4,0.5,4,0.45,0.45,0.45,0.45,0.012333333333333,0.8609,0.8619,0.8629,0.8656,0,0,0.0641,0.0685,0.0632,0.065,21.1688,21.1068,21.1477,21.1906,22,22,22,22,4,4,4,4,44,41,47,42,84.6139,0.444109161185026,0.44280752270093,0.444496143705196,0.443744677614322,0.441457549243757,0.44010955922801,0.442308956489671,0.441042687491212,0.958047908939433,0.954449040133764,0.957503434821084,0.957775635180864,-0.00589083881497382,-0.00719247729906872,-0.00550385629480529,-0.00625532238567867,0.0138456592981389,0.0144041240980393,0.013943154810221,0.0137049069426573,22.072287240791,0.0773,0.9227,3.466,0.2879
4,0.45,1,0.985,0.275,2,7,16,1,4,2,0,0.15,0.15,0.15,0.15,0.012,0.013,0.0131,0.0113,0.0121,0.0474,1.04430379746835,0.702,0.7027,0.7157,0.7195,12.0078,12.0132,11.7978,11.7309,9,9,8,9,4,4,4,4,36,40,37,41,47.5497,0.149872763673363,0.14975097404404,0.147961405529833,0.148348344028742,0.117436161929247,0.117186039031549,0.114694956722353,0.114627482181699,0.443250085380539,0.442401935201679,0.436888368509881,0.436693785977005,-0.000127236326637229,-0.000249025955960149,-0.00203859447016731,-0.00165165597125873,0.00531571519936817,0.00533425876489086,0.00499513441557835,0.00529495187190966,18.4939917149658,0.304,0.696,1.1476,1.1106
4,0.45,1,0.985,0.275,2,7,16,1,4,2,1,0.45,0.15,0.15,0.15,0.012,0.9077,0.0173,0.0176,0.0144,0.048,1.02708333333333,0.0648,0.6178,0.6069,0.6208,29.9479,10.8082,10.885,10.7442,32,8,8,8,4,4,4,4,65,38,36,35,62.3853,0.436921877806783,0.156497888299767,0.15722641953453,0.156291781206175,0.446094054561105,0.110677751829505,0.111483109063579,0.109844136551097,0.969153200622251,0.447133356219223,0.449087016126267,0.446924138831685,-0.0130781221932169,0.00649788829976703,0.00722641953453046,0.00629178120617502,0.0125084865682046,0.00687998207187924,0.00698391009495999,0.00678587224168353,15.5604459042108,0.1718,0.8282,1.9341,1.1327
4,0.45,1,0.985,0.275,2,7,16,1,4,2,2,0.45,0.45,0.15,0.15,0.012166666666667,0.8958,0.8953,0.0215,0.0235,0.0445,1.01123595505618,0.0595,0.0643,0.5456,0.5485,27.0113,26.9256,10.1508,10.188,28,28,9,9,4,4,4,4,58,70,35,30,74.2757,0.441342352431065,0.439534118454919,0.166182141029186,0.16577190352087,0.446692727338665,0.444568446460398,0.109441577728634,0.108743029226367,0.967206830301286,0.966398537567149,0.465008081839379,0.464000772505137,-0.00865764756893389,-0.0104658815450804,0.0161821410291862,0.0157719035208694,0.0124486168666065,0.0123764947400932,0.00833447602038516,0.00834336562883521,13.9872148339019,0.1274,0.8726,2.5512,0.946
4,0.45,1,0.985,0.275,2,7,16,1,4,2,3,0.45,0.45,0.45,0.15,0.0121666666666665,0.8854,0.885,0.885,0.0281,0.0281,1,0.0593,0.0619,0.061,0.5257,23.9988,24.024,24.0028,9.1174,25,25,25,7,4,4,4,4,58,58,63,27,81.143,0.4415623177904,0.43997722380687,0.442500865309252,0.175611102294421,0.443181074993444,0.441371988710666,0.444333626901645,0.103582953144577,0.963986743810332,0.963001068380911,0.963508553823965,0.47996251315857,-0.00843768220959984,-0.0100227761931296,-0.00749913469074911,0.0256111022944209,0.0126484386661994,0.0125082518025534,0.0127938445182487,0.00957050573599748,12.4681386340107,0.111,0.889,2.9887,0.6086
4,0.45,1,0.985,0.275,2,7,16,1,4,2,4,0.45,0.45,0.45,0.45,0.0123333333333335,0.8581,0.8605,0.8626,0.8657,0,0,0.0702,0.0656,0.066,0.0659,21.0725,21.1036,21.1109,21.1431,22,22,22,22,4,4,4,4,43,43,40,46,84.4301,0.442314243695609,0.444026974756572,0.44505840378507,0.443766058393563,0.439503488254963,0.441227739349773,0.442948498931873,0.441061190692744,0.953914695835789,0.956393029969905,0.957131076800725,0.95739848039165,-0.00768575630439112,-0.00597302524342817,-0.00494159621493043,-0.00623394160643657,0.0143677930144287,0.0142924944251683,0.0141317296055819,0.0137566914819351,11.0239888938716,0.0785,0.9215,3.4524,0.2854
